index,tx_id,azimuth,distance_ring,distance_km,num_distance_points,frequency_ghz,time_percentage,polarization,antenna_height_tx_m,antenna_height_rx_m,tx_lat,tx_lon,rx_lat,rx_lon,Lb,Ep,elapsed_s
1,TX_0001,0.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.34988235535686,-13.406917794382421,86.1698004338572,112.27504975492931,0.0029837920000019835
2,TX_0001,5.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.349861853579005,-13.40648943563651,86.1698004338572,112.27504975492931,0.00028279100000005997
3,TX_0001,10.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.349804349677402,-13.406064506228729,103.97854059571598,94.46630959307053,0.00028766699999849266
4,TX_0001,15.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.349710281331053,-13.40564624025351,103.97854061493942,94.4663095738471,0.0002520419999996193
5,TX_0001,20.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.349580364505925,-13.4052378210805,92.19506961163242,106.2497805771541,0.00026466699999971866
6,TX_0001,25.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.34941558800451,-13.404842357123744,86.18084678056346,112.26400340822306,0.00025612499999994043
7,TX_0001,30.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.34921720593871,-13.40446285818182,86.18084678056346,112.26400340822306,0.0002533329999998557
8,TX_0001,35.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.348986728183368,-13.404102212529049,86.18084678056346,112.26400340822306,0.0002486669999974822
9,TX_0001,40.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.348725908883154,-13.403763164932204,86.18426265448055,112.26058753430597,0.00025316700000033165
10,TX_0001,45.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.348436733100336,-13.403448295760114,86.18426265448055,112.26058753430597,0.0002462919999999258
11,TX_0001,50.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.348121401705127,-13.403160001345123,86.18426265448055,112.26058753430597,0.00026087499999860597
12,TX_0001,55.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.347782314623695,-13.402900475745936,86.18254032974096,112.26230985904556,0.0002486669999974822
13,TX_0001,60.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.347422052571295,-13.402671694050598,107.68831978954626,90.75653039924026,0.0002467089999989014
14,TX_0001,65.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.34704335740974,-13.402475397346658,86.18426265448055,112.26058753430597,0.0002549159999993833
15,TX_0001,70.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.346649111278651,-13.402313079472862,86.18426265448055,112.26058753430597,0.0002537920000023064
16,TX_0001,75.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.346242314659376,-13.4021859756531,86.18426265448055,112.26058753430597,0.00024374999999920988
17,TX_0001,80.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.34582606353862,-13.402095053099059,86.18426265448055,112.26058753430597,0.00023575000000164437
18,TX_0001,85.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.345403525845542,-13.402041003652949,86.18084678056346,112.26400340822306,0.00024887500000048135
19,TX_0001,90.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.344977917341687,-13.40202423852624,86.18084678056346,112.26400340822306,0.00023845800000188433
20,TX_0001,95.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.344552477147275,-13.402044885174247,86.18254032974096,112.26230985904556,0.00024912499999985016
21,TX_0001,100.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.344130443090078,-13.402102786330312,86.18426265448055,112.26058753430597,0.00024112499999873194
22,TX_0001,105.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.343715027064468,-13.402197501206738,86.18426265448055,112.26058753430597,0.00025583300000064924
23,TX_0001,110.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.343309390588171,-13.402328308853251,86.18426265448055,112.26058753430597,0.0002462500000000034
24,TX_0001,115.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.342916620742713,-13.402494213647278,86.18426265448055,112.26058753430597,0.0002466249999990566
25,TX_0001,120.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.34253970668059,-13.402693952874214,86.18426265448055,112.26058753430597,0.0002393339999997579
26,TX_0001,125.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.342181516877917,-13.40292600633982,86.18254032974096,112.26230985904556,0.0002558750000005716
27,TX_0001,130.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.341844777305681,-13.40318860794159,86.18254032974096,112.26230985904556,0.0002440000000021314
28,TX_0001,135.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.341532050685535,-13.403479759110935,107.68831799826012,90.7565321905264,0.0002502500000005625
29,TX_0001,140.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.341245716988091,-13.403797244023844,86.18254032974096,112.26230985904556,0.00024487499999992224
30,TX_0001,145.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.340987955321934,-13.404138646464274,86.18254032974096,112.26230985904556,0.000234625000000932
31,TX_0001,150.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.340760727351258,-13.404501368211928,86.18254032974096,112.26230985904556,0.000247832999999531
32,TX_0001,155.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.340565762368133,-13.404882648814493,86.18084678056346,112.26400340822306,0.0002505419999998537
33,TX_0001,160.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.340404544133095,-13.405279586593947,111.21468652072883,87.23016366805768,0.0002588339999967104
34,TX_0001,165.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.340278299584048,-13.405689160727121,100.61201215045223,97.83283803833429,0.0002402500000009411
35,TX_0001,170.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.340187989499452,-13.406108254232548,100.61201212958407,97.83283805920244,0.00024429099999778714
36,TX_0001,175.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.340134301186776,-13.406533677688776,109.10692823139416,89.33792195739235,0.00022462500000131058
37,TX_0001,180.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.340117643251896,-13.406962193503759,86.17129163455559,112.27355855423093,0.00024324999999691954
38,TX_0001,185.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.340138142489167,-13.40739054055071,86.18254032974096,112.26230985904556,0.00024729200000095375
39,TX_0001,190.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.34019564291594,-13.407815458983075,89.90068773913686,108.54416244964966,0.00024300000000110344
40,TX_0001,195.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.340289706958787,-13.408233715039898,86.18084678056346,112.26400340822306,0.0002434159999999963
41,TX_0001,200.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.3404196187825,-13.4086421256529,86.18254032974096,112.26230985904556,0.00024674999999874103
42,TX_0001,205.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.340584389736556,-13.409037582668125,86.17918204088873,112.26566814789778,0.00024933399999937933
43,TX_0001,210.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.340782765877604,-13.409417076497911,108.10983128239741,90.33501890638911,0.00024162500000102227
44,TX_0001,215.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.341013237510817,-13.409777719023273,86.17918204088873,112.26566814789778,0.0002552080000022272
45,TX_0001,220.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.341274050677555,-13.41011676557245,86.17918204088873,112.26566814789778,0.0002507080000029305
46,TX_0001,225.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.341563220501907,-13.410431635808457,96.74110426637012,101.7037459224164,0.00025758399999986636
47,TX_0001,230.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.341878546294696,-13.410719933366618,86.18426265448055,112.26058753430597,0.00026054199999947514
48,TX_0001,235.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.342217628299997,-13.410979464092726,86.18254032974096,112.26230985904556,0.0002342080000019564
49,TX_0001,240.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.342577885956775,-13.411208252742957,86.18254032974096,112.26230985904556,0.0002514580000010369
50,TX_0001,245.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.34295657753678,-13.411404558018441,86.17918204088873,112.26566814789778,0.0002365000000033035
51,TX_0001,250.0,0.5,0.54,20,0.9,50,1,57.0,10.0,9.345,-13.40694,9.343350821009226,-13.411566885819992,86.17918204088873,112.26566814789778,0.000236791999999042
