f;p;d;h;R;Ct;zone;htg;hrg;pol;phi_t;phi_r;lam_t;lam_r;azimuth;distance_ring;tx_id
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.344732666067287;-13.40694;-13.406893791586592;170.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.344728757994927;-13.40694;-13.406941233290224;180.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.344733091467381;-13.40694;-13.406988637522646;190.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.344745534815107;-13.40694;-13.407034563933397;200.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.344765709954585;-13.40694;-13.4070776170743;210.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.344793003876001;-13.40694;-13.407116488799135;220.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.344826587269083;-13.40694;-13.40714999801079;230.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.344865439721024;-13.40694;-13.407177126548245;240.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.344908380721055;-13.40694;-13.40719705012293;250.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.344954105529492;-13.40694;-13.407209163364534;260.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.345001224821475;-13.40694;-13.407213098215188;270.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.345048306900887;-13.40694;-13.40720873511308;280.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.345093921201732;-13.40694;-13.407196206625704;290.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.34513668175527;-13.40694;-13.407175893422236;300.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.345175289302107;-13.40694;-13.407148412707407;310.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.34520857076978;-13.40694;-13.407114599468246;320.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.345235514916112;-13.40694;-13.407075481103504;330.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.345255303055543;-13.40694;-13.40703224620658;340.0;0.0;TX_0001
0.9;50;[0, 0.0, 0.03];[0, 0, 0];[0.0, 0.0, 0.0];[2, 2, 2];[4, 4, 4];57;10;1;9.345;9.34526733393459;-13.40694;-13.406986208450514;350.0;0.0;TX_0001
